Property Name,Address,Total Rent,Bed,Bath,Move-In Date,Property Manager,Available Units,Neighborhood,Commission Paid
Bungalows,2800 Cole,"$1,285",1,1,08/11/21,University Realty,C215,North Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,280",1,1,08/01/21,512 Living,102,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,280",1,1,08/04/21,512 Living,207,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 100 ,"$1,275",0,1,08/07/21,512 Living,100,West Campus,30-60 Days Post Paperwork Completion
Hyde Park Oaks,114 E 31st,"$1,275",1,1,08/10/21,Tower Realty,305,North Campus,30-60 Days Post Paperwork Completion
Wedgewood,2802 Nueces,"$1,275",1,1,08/10/21,Tower Realty,307,West Campus,30-60 Days Post Paperwork Completion
Escala at 34th,301 E 34th,"$1,275",1,1,08/10/21,Tower Realty,106,North Campus,30-60 Days Post Paperwork Completion
Camino Real,2810 Salado,"$1,275 ",1,1,08/13/21,Marquis,107,West Campus,30-60 Days Post Paperwork Completion
Vanderbilt,912 West 22nd Street,"$1,275 ",1,1,08/08/21,Marquis,1X1,West Campus,30-60 Days Post Paperwork Completion
Escala,301 E 34th St,"$1,275",1,1,08/12/21,Austin Manage,107,North Campus,30-60 Days Post Paperwork Completion
7204 Creekside,7204 Creekside,"$1,275",2,2,08/07/21,Respace,B,Coronado Hills,30-60 Days Post Paperwork Completion
Whitis Lofts,3011 Whitis Ave Apt 101 ,"$1,270",1,1,07/31/21,512 Living,101,North Campus,30-60 Days Post Paperwork Completion
Whitis Lofts,3011 Whitis Ave Apt 107 ,"$1,270",1,1,07/31/21,512 Living,107,North Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,265",1,1,08/04/21,512 Living,108,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,265",1,1,08/02/21,512 Living,205,West Campus,30-60 Days Post Paperwork Completion
Winflo,808 Winflo Dr Apt 203,"$1,250",0,1,10/29/21,512 Living,203,Downtown,30-60 Days Post Paperwork Completion
Greenwood Towers,1800 Lavaca,"$1,250",1,1,08/10/21,Tower Realty,203,Downtown,30-60 Days Post Paperwork Completion
Texan Shoal Creek,2502 Leon St,"$1,250",1,1,08/10/21,Tower Realty,218,West Campus,30-60 Days Post Paperwork Completion
The Elms,2810 Nueces,"$1,250",1,1,08/10/21,Tower Realty,102,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,250",1,1,08/04/21,512 Living,104,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,250",1,1,08/04/21,512 Living,202,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,250",1,1,08/01/21,512 Living,204,West Campus,30-60 Days Post Paperwork Completion
Whitis Lofts,3011 Whitis Ave Apt 102 ,"$1,250",1,1,08/21/21,512 Living,102,North Campus,30-60 Days Post Paperwork Completion
Wedgewood,2802 Nueces,"$1,250",1,1,08/07/21,Respace,208,West Campus,30-60 Days Post Paperwork Completion
2831 Pearl #2,2831 Pearl #2,"$1,250",1,1,08/07/21,Respace,2,West Campus,30-60 Days Post Paperwork Completion
Greenwood Towers,1800 Lavaca,"$1,250",1,1,08/07/21,Uptown Realty,516,West Campus,30-60 Days Post Paperwork Completion
San Remo Apts,2204 San Gabriel St,"$1,250",1,1,08/07/21,"Burlington Ventures, Inc.",1X1,West Campus,30-60 Days After Move-In
Beehive,4209 Avenue B Apt 202 ,"$1,000",0,1,07/30/21,512 Living,202,Hyde Park,30-60 Days Post Paperwork Completion
Beehive,4209 Avenue B Apt 205 ,"$1,000",0,1,07/23/21,512 Living,205,Hyde Park,30-60 Days Post Paperwork Completion
Hyde Park Oaks,114 E 31st,"$1,250",1,1,Immediate,PMT,108,West Campus,30-60 Days Post Paperwork Completion
Buena Vista,1908 San Antonio,"$1,250",1,1,08/03/21,PMT,101,West Campus,30-60 Days Post Paperwork Completion
Shoal Creek,1509 W 39.5th St,"$1,250",1,1,Immediate,PMT,102,North Campus,30-60 Days Post Paperwork Completion
Gazebo,2815 Rio Grande,"$1,250",2,1,August-21,Metro Realty,206,West Campus,30-60 Days Post Paperwork Completion
Villa Solano,620 W 51st St,"$1,250",2,1,07/27/21,24th Street Realty,205,North Loop,30-60 Days Post Paperwork Completion
Pearl Street Condos,2210 Pearl St,"$1,250",2,1,08/01/21,PMT,302,West Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A102,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A104,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A109,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A204,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A205,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A206,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A208,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A304,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A305,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A306,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,235",1,1,08/11/21,University Realty,A307,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2706 Cole,"$1,235",1,1,08/11/21,University Realty,B104,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,235",1,1,08/11/21,University Realty,C103,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,235",1,1,08/11/21,University Realty,C106,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,235",1,1,08/11/21,University Realty,C108,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,235",1,1,08/11/21,University Realty,C202,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,235",1,1,08/11/21,University Realty,C205,North Campus,30-60 Days Post Paperwork Completion
Winflo,808 Winflo Dr Apt 202 ,"$1,225",0,1,07/01/21,512 Living,202,Downtown,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,225",1,1,08/01/21,512 Living,103,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,225",1,1,08/04/21,512 Living,106,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,225",1,1,08/03/21,512 Living,107,West Campus,30-60 Days Post Paperwork Completion
4704 Evans Ave,4704 Evans Ave,"$1,000",0,1,07/24/21,512 Living,B,Hyde Park,30-60 Days Post Paperwork Completion
Hyde Park,3400 Speedway,"$1,000",1,1,08/14/21,University Realty,203,Hyde Park,30-60 Days Post Paperwork Completion
Cottonwood,4409 Guadalupe,"$1,000",1,1,08/14/21,University Realty,6,Hyde Park,30-60 Days Post Paperwork Completion
Sterling Crest,3110 Red River,"$1,200",0,1,08/10/21,Tower Realty,109,North Campus,30-60 Days Post Paperwork Completion
Sterling Crest,3110 Red River,"$1,200",0,1,08/10/21,Tower Realty,112,North Campus,30-60 Days Post Paperwork Completion
Sterling Crest,3110 Red River ,"$1,200",0,1,08/10/21,Tower Realty,"110, 114",North Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 307 ,"$1,200",0,1,08/06/21,512 Living,307,West Campus,30-60 Days Post Paperwork Completion
Winflo,808 Winflo Dr Apt 108 ,"$1,200",0,1,08/13/21,512 Living,108,Downtown,30-60 Days Post Paperwork Completion
Palmetto,2110 Rio Grande,"$1,200",1,1,08/10/21,Tower Realty,103,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,200",1,1,08/04/21,512 Living,105,West Campus,30-60 Days Post Paperwork Completion
Coventry Place,2814 Nueces,"$1,200",1,1,08/03/21,512 Living,208,West Campus,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,08/13/21,University Realty,201,Downtown,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,08/13/21,University Realty,205,Downtown,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,08/13/21,University Realty,210,Downtown,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,08/13/21,University Realty,216,Downtown,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,08/13/21,University Realty,310,Downtown,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,08/13/21,University Realty,312,Downtown,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,08/13/21,University Realty,315,Downtown,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,08/13/21,University Realty,416,Downtown,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,07/07/21,University Realty,505,Downtown,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,08/13/21,University Realty,804,Downtown,30-60 Days Post Paperwork Completion
Greenwood,1800 Lavaca,"$1,200",1,1,08/13/21,University Realty,805,Downtown,30-60 Days Post Paperwork Completion
Bungalows,2703 Swisher,"$1,200",1,1,08/11/21,University Realty,A209,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2706 Cole,"$1,200",1,1,08/11/21,University Realty,B102,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2706 Cole,"$1,200",1,1,08/11/21,University Realty,B103,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,200",1,1,08/11/21,University Realty,C201,North Campus,30-60 Days Post Paperwork Completion
Bungalows,2800 Cole,"$1,200",1,1,08/11/21,University Realty,C206,North Campus,30-60 Days Post Paperwork Completion
Cottonwood,4409 Guadalupe,"$1,000",1,1,08/14/21,University Realty,16,Hyde Park,30-60 Days Post Paperwork Completion
Cottonwood,4411 Guadalupe St,"$1,000",1,1,08/07/21,Uptown Realty,15,Hyde Park,30-60 Days Post Paperwork Completion
The Jewel Of West Campus,901 W 22nd St,"$1,200",1,1,08/01/21,PMT,101,West Campus,30-60 Days Post Paperwork Completion
Hyde Park Oaks,114 E 31st,"$1,200",1,1,07/26/21,PMT,207,North Campus,30-60 Days Post Paperwork Completion
Hyde Park Oaks,114 E 31st St,"$1,200",1,1,08/03/21,PMT,303,North Campus,30-60 Days Post Paperwork Completion
1008 W. 25th,1008 W. 25th,"$1,200",2,1,08/10/21,University Realty,C,West Campus,30-60 Days Post Paperwork Completion
Oasis At Midtown,2301 Olhen Rd,"$1,200",2,1,05/07/21,Austin Manage,210,North Austin,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,195",1,1,08/12/21,Respace,101,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,195",1,1,08/12/21,Respace,102,West Campus,30-60 Days Post Paperwork Completion
Texan Pearl,2515 Pearl St,"$1,195",1,1,08/12/21,Respace,103,West Campus,30-60 Days Post Paperwork Completion
Croix ,806 W. 24th ,"$1,195",1,1,August-21,Metro Realty,101,West Campus,30-60 Days Post Paperwork Completion
Wedgewood,2802 Nueces,"$1,195",1,1,08/07/21,Uptown Realty,308,West Campus,30-60 Days Post Paperwork Completion
Wedgewood,2802 Nueces,"$1,195",1,1,08/08/21,UT Student Condos,206,West Campus,30-60 Days Post Paperwork Completion
Winflo,808 Winflo Dr Apt 107 ,"$1,180",0,1,07/01/21,512 Living,107,Downtown,30-60 Days Post Paperwork Completion
Winflo,808 Winflo Dr Apt 210 ,"$1,180",0,1,08/13/21,512 Living,210,Downtown,30-60 Days Post Paperwork Completion
Texan Tower,2505 San Gabriel,"$1,175",0,1,08/10/21,Tower Realty,103,West Campus,30-60 Days Post Paperwork Completion
Beehive,4209 Avenue B Apt 208 ,"$1,015",0,1,07/30/21,512 Living,208,Hyde Park,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 107 ,"$1,150",0,1,08/07/21,512 Living,107,West Campus,30-60 Days Post Paperwork Completion
Aspenwood,4553 Guadalupe St,"$1,015",1,1,04/30/21,Austin Residence,B313,Hyde Park,30-60 Days Post Paperwork Completion
Mark Twain Condos,1106 W 22nd,"$1,150",1,1,08/10/21,Tower Realty,5,West Campus,30-60 Days Post Paperwork Completion
Salado Place ,2604 Salado ,"$1,150",1,1,08/10/21,Tower Realty,202,West Campus,30-60 Days Post Paperwork Completion
Salado Place ,2604 Salado ,"$1,150",1,1,08/10/21,Tower Realty,302,West Campus,30-60 Days Post Paperwork Completion
616 W 51st ,616 W 51st,"$1,150",1,1,08/10/21,Tower Realty,101,North Loop,30-60 Days Post Paperwork Completion
Croix,806 W 24th,"$1,150",1,1,08/10/21,Tower Realty,131,West Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 201 ,"$1,150",1,1,07/23/21,512 Living,201,North Campus,30-60 Days Post Paperwork Completion
Croix ,806 W. 24th ,"$1,150",1,1,August-21,Metro Realty,103,West Campus,30-60 Days Post Paperwork Completion
Gazebo,2815 Rio Grande,"$1,150",2,1,08/10/21,Tower Realty,212,West Campus,30-60 Days Post Paperwork Completion
Castle Arms,3121 Speedway,"$1,149 ",1,1,08/18/21,Marquis,204,North Campus,30-60 Days Post Paperwork Completion
Winflo,808 Winflo Dr Apt 106 ,"$1,140",0,1,10/29/21,512 Living,106,Downtown,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 205 ,"$1,140",1,1,07/23/21,512 Living,205,North Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 206 ,"$1,140",1,1,07/23/21,512 Living,206,North Campus,30-60 Days Post Paperwork Completion
Beehive,4209 Avenue B Apt 207 ,"$1,050",0,1,08/13/21,512 Living,207,Hyde Park,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 105 ,"$1,130",1,1,07/29/21,512 Living,105,North Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 207 ,"$1,130",1,1,07/29/21,512 Living,207,North Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 202 ,"$1,115",1,1,08/13/21,512 Living,202,North Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 208 ,"$1,115",1,1,08/13/21,512 Living,208,North Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,"$1,100",0,1,08/10/21,Tower Realty,202,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,"$1,100",0,1,08/10/21,Tower Realty,209,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,"$1,100",0,1,08/10/21,Tower Realty,210,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,"$1,100",0,1,08/10/21,Tower Realty,215,West Campus,30-60 Days Post Paperwork Completion
Escala,1000 W 26th St,"$1,100",0,1,08/10/21,Tower Realty,216,West Campus,30-60 Days Post Paperwork Completion
Lonestar Lofts,2408 Leon St Apt 207 ,"$1,100",0,1,08/06/21,512 Living,207,West Campus,30-60 Days Post Paperwork Completion
Studio 34,302 E 34th St Apt 106 ,"$1,100",0,1,07/23/21,512 Living,106,North Campus,30-60 Days Post Paperwork Completion
Studio 34,302 E 34th St Apt 206 ,"$1,100",0,1,08/12/21,512 Living,206,North Campus,30-60 Days Post Paperwork Completion
Beehive,4209 Avenue B Apt 209 ,"$1,050",0,1,08/06/21,512 Living,209,Hyde Park,30-60 Days Post Paperwork Completion
Starwest,2408 Longview St,"$1,100",1,1,07/22/21,512 Living,104,West Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 104 ,"$1,100",1,1,08/13/21,512 Living,104,North Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 109 ,"$1,100",1,1,08/13/21,512 Living,109,North Campus,30-60 Days Post Paperwork Completion
Whitis Place,2000 Whitis,"$1,100",1,1,08/14/21,University Realty,201,West Campus,30-60 Days Post Paperwork Completion
Maiden Lane,630 Maiden Ln,"$1,100",1,1,08/12/21,University Realty,F,North Campus,30-60 Days Post Paperwork Completion
2813 1/2 Rio Grande St,2813 1/2 Rio Grande St,"$1,100",1,1,08/01/21,PMT,5,West Campus,30-60 Days Post Paperwork Completion
2000 Whitis Avenue,2000 Whitis Avenue,"$1,100",1,1,08/06/21,PMT,308,West Campus,30-60 Days Post Paperwork Completion
Hyde Park Oaks,114 E 31st St,"$1,100",1,1,06/01/21,PMT,109,North Campus,30-60 Days Post Paperwork Completion
2802 Nueces,2802 Nueces,"$1,100",1,1,08/03/21,PMT,206,West Campus,30-60 Days Post Paperwork Completion
908 W. 22nd,908 W. 22nd,"$1,100",2,1,08/12/21,University Realty,D,West Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 101 ,"$1,095",1,1,07/29/21,512 Living,101,North Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 203 ,"$1,095",1,1,07/29/21,512 Living,203,North Campus,30-60 Days Post Paperwork Completion
2529 Rio Grande,2529 Rio Grande,"$1,095",1,1,08/01/21,PMT,96,West Campus,30-60 Days Post Paperwork Completion
Galileo,910 W 25th St,"$1,090",1,1,08/05/21,Austin Residence,SMART Housing - 202,West Campus,30-60 Days Post Paperwork Completion
Beehive,4209 Avenue B Apt 204 ,"$1,060",0,1,08/13/21,512 Living,204,Hyde Park,30-60 Days Post Paperwork Completion
Studio 34,302 E 34th St Apt 101 ,"$1,080",0,1,07/23/21,512 Living,101,North Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 107 ,"$1,080",1,1,08/06/21,512 Living,107,North Campus,30-60 Days Post Paperwork Completion
The 34 at Helms,3405 Helms St Apt 209 ,"$1,080",1,1,09/24/21,512 Living,209,North Campus,30-60 Days Post Paperwork Completion
Beehive,4209 Avenue B Apt 203 ,"$1,065",0,1,07/30/21,512 Living,203,Hyde Park,30-60 Days Post Paperwork Completion
Nueces Corner ,2714 Nueces,"$1,075",1,1,08/01/21,Austin Evolution,105,West Campus,30-60 Days Post Paperwork Completion
2813 1/2 Rio Grande St,2813 1/2 Rio Grande St,"$1,075",1,1,08/05/21,PMT,4,West Campus,30-60 Days Post Paperwork Completion
Beehive,4209 Avenue B Apt 110 ,"$1,075",0,1,10/22/21,512 Living,110,Hyde Park,30-60 Days Post Paperwork Completion
